COMMUNE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Ain Sebaa,1.9925300967165023,2.011283455783411,2.0438947553147173,2.134516685068342,2.1444032205743255,2.101429039363191,2.0821529901738893,2.0847528745434687,2.318621403500565,2.0972931175231855,2.0852466935655354,2.1195298928984845,2.2096779303818943,2.1458812215528456,2.09317006744909,2.172666739402726,2.2649045763769484,2.3562674322125297,2.4332681867896393,2.296605794880267,2.0986474591227493,1.9857958620994753,2.000425008659245,1.9903227998912627
Al Fida,2.7086567847125806,2.848028872632951,2.852573743256154,2.7992794970109083,2.8295093999393766,2.7900447248132463,2.8015136974267003,2.7794241832459683,2.6445291794118733,2.7149000630723195,2.688023296478003,2.725466453594502,2.8084637279413425,2.8488625045311196,2.706987339954579,2.8453163210732617,2.7416965160301814,2.730864492772265,2.8546913066477915,2.812649359388687,2.612544606154969,2.618801894019242,2.5545277025463546,2.6055592368639973
Al Idrissia,2.4071664359174276,2.4866911098524027,2.5172705117259104,2.554541191531576,2.521558109210747,2.5349530638262956,2.5398585829527267,2.50637950795862,2.5352869920085586,2.5147062436489693,2.631348787409508,2.5548974130563304,2.576839469028637,2.5036846783729234,2.465937748477594,2.5626694651879847,2.5597150238439936,2.555964976023345,2.6815823167258426,2.7139299311479004,2.5352436895952524,2.3759803513329487,2.3643818599821977,2.385447735149114
Lissasfa,2.2044050170394267,2.225817212280904,2.2308353276861395,2.30406302645507,2.3355070621679466,2.3170415168934513,2.3074203454151663,2.2668364797593807,2.4106299415785286,2.360234990513594,2.254520017192065,2.269337498676709,2.3395409893854735,2.2918746718679315,2.2416845890197856,2.246465870686758,2.369628001854259,2.5164205923094136,2.720244847759087,2.562814793449709,2.3357723695166044,2.1451465797254805,2.1738663816291837,2.188122366419662
Mers Sultan,2.9357543138307376,2.948076817043097,3.092407936707453,3.234470936711349,3.2879975920470548,3.254851588945524,3.259592797217542,3.152999739108308,3.3048457981331,3.2070903458102022,3.3580435701797464,3.3706536382982586,3.441206226877101,3.3221341001503064,3.326221951111651,3.3299565819647134,3.329506264683551,3.3963397032001836,3.530590977462624,3.4201051026587295,3.1158846151199437,3.022782134538757,2.94235679683989,2.9454445752118446
Moulay Rachid,2.432339361402074,2.495737711447272,2.5142058680204857,2.5346938913694563,2.5351244570668023,2.4819431511835575,2.531403479744024,2.5105143373680447,2.5640964095483305,2.618176187172802,2.582516521695278,2.624206613111905,2.6917706800240344,2.6259724453868665,2.506882446587985,2.4715454287310026,2.473485405336189,2.5351288762033257,2.5907644018477063,2.5924542987725383,2.587051542662043,2.5371489949951815,2.500814729471407,2.438995839769933
Sidi Belyout,3.092977109670534,2.9620583045292683,3.1209108174532547,3.3652624204701835,3.480209716078067,3.4726115497021164,3.4263310031080785,3.225354053544558,3.4073838729491945,3.428456087636768,3.409815527762082,3.4351802806109104,3.5366853181809432,3.477202556937552,3.317307296801107,3.382460114923988,3.5144415936829114,3.7135097753136135,3.7783449350630463,3.42129674804914,3.2619894697300773,2.998592556553961,3.0409963501988377,3.086613102000301
Sidi Moumen,2.2427586268119315,2.2608139759785724,2.280246226591994,2.332175820458913,2.331833034572635,2.3185451181458405,2.3247666130678435,2.3312265152600293,2.3624212764940755,2.3078234005262663,2.314243113340411,2.279057784137849,2.301107558173663,2.301149889036683,2.258197275358524,2.2826719143410386,2.3310799512512554,2.325491154522372,2.519498132003622,2.4712560570497133,2.3996875846491035,2.291149594981319,2.261973146624113,2.2642859791024414
Sidi Othmane,2.409155880319898,2.4262357801852987,2.4472123161996544,2.506209204572631,2.5072332899052308,2.503876228077795,2.50623877761089,2.4503115484588838,2.4678764041845063,2.467036023066104,2.455602685797662,2.519150017199302,2.526123284384601,2.5670751604165414,2.4928327521480207,2.517114034448177,2.5392510481221815,2.511785377309252,2.627551044638167,2.599445625353089,2.5107590359464727,2.4067958872728807,2.4100858404973797,2.4310159553218624
Ahl Laghlam,2.154741471011306,2.173695472575681,2.19551981448628,2.22932592350456,2.2304705094301105,2.2261514584082125,2.2108338870934103,2.199168994147598,2.2391413807020406,2.218613814857042,2.2128873617920375,2.255550196863896,2.262481969797352,2.2047112889815375,2.201125977545635,2.253709203580299,2.3096315018698634,2.345285906260856,2.492319401539568,2.4032243741235635,2.2183946188146395,2.1946529237301786,2.174659488534767,2.1602571631922736
Sidi Bernoussi,1.9777124288936616,1.990784679613609,2.0208856414084417,2.0842322860617886,2.0851112815651343,2.0806109511240876,2.0719923027778733,2.1166650236866644,2.2689591311555084,2.068052417907333,2.0495104019490995,2.0714428061594075,2.186192302041574,2.0743942098394177,2.126788600494598,2.0373694366411423,2.117587231301374,2.277538500093783,2.45418626047678,2.1608836938361167,2.0487046002062312,2.0330147899389153,1.995968834610116,1.9939788994180982
Moulay Youssef,1.3403539293360058,1.3068393222047683,1.253450459579653,1.2875722987174494,1.2900306600539004,1.2839122259966018,1.2714958106410508,1.2928395185789197,1.4232178316721835,1.472412817622145,1.49584651217057,1.6038940288975536,1.6886195570472484,1.706845214501648,1.5637113504697897,1.6748094930642552,1.739109838470887,1.7366161293209768,1.8260444093746784,1.7141231005816706,1.6894544629343737,1.5590130899062358,1.5064849483976022,1.472931530816088
